,,,WraLU,,AB-CROWN,,GRENA,
Image index,Dataset / Network,Epsilon,Result,Time (seconds),Result,Time (seconds),Result,Time (seconds)
0,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,31.7,verified,22.4,verified,56.4
12,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.5,verified,1.7,verified,68.6
13,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.9,verified,11.3,verified,69.9
17,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,29.8,verified,1.7,verified,53.9
20,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,16.7,verified,1.7,verified,31.1
32,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,35.7,verified,16.6,verified,63.7
33,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,35.1,verified,1.7,verified,63.1
47,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.2,verified,1.9,verified,69.2
49,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,30.6,verified,1.7,verified,56.0
55,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,37.4,verified,2.7,verified,67.3
65,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.9,verified,17.0,verified,66.7
71,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,34.9,verified,1.7,verified,60.4
80,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,39.9,verified,1.7,verified,70.6
88,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,31.0,verified,13.0,verified,55.9
91,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,23.5,verified,1.7,verified,43.2
97,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,21.8,verified,1.8,verified,39.1
101,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,39.6,verified,1.8,verified,70.2
102,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,37.0,verified,1.8,verified,65.7
103,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.5,verified,1.8,verified,66.9
104,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,24.9,verified,1.7,verified,45.1
115,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,22.2,unknown,302.1,verified,38.4
119,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,33.5,unknown,301.9,verified,58.1
130,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,33.1,verified,1.8,verified,57.7
132,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,32.3,verified,1.8,verified,59.2
145,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,39.6,verified,13.5,verified,70.2
155,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,31.2,verified,16.5,verified,53.4
163,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,26.7,verified,1.8,verified,48.1
165,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,25.5,verified,3.2,verified,43.8
174,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,33.4,verified,1.8,verified,59.8
192,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,40.2,verified,1.8,verified,68.6
0,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,7.2,verified,55.1
1,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,1.0,verified,54.6
9,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,123.8,verified,137.1
15,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,56.4
17,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.4,verified,54.3
20,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.4,verified,54.6
25,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,falsified,0.1,falsified,106.4
35,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,54.2
43,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,falsified,0.0,falsified,118.1
45,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,falsified,0.1,falsified,110.8
50,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,54.6
53,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,53.6
54,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,52.9
71,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,53.7
72,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,52.8
77,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,16.9,verified,132.4
89,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,32.8,verified,131.2
129,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,54.7
131,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.6,verified,54.4
143,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.6,verified,55.5
147,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,19.5,verified,139.7
149,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,56.8
153,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.6,verified,53.0
163,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,55.5
165,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,53.1
172,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,55.0
179,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,5.1,verified,162.7
181,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,55.9
184,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,48.7,verified,142.4
195,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,3.2,verified,55.4
0,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,7.8,verified,54.7
9,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,304.3,verified,253.5
15,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,303.0,verified,433.7
17,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.6,verified,54.5
20,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.7,verified,53.4
25,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,119.2
35,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,109.2
50,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,302.5,verified,269.5
54,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.8,verified,52.6
71,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.7,verified,53.6
79,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,47.9,verified,156.7
83,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,108.1
87,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,48.6,verified,209.9
91,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,46.6,verified,199.9
93,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,304.4,verified,255.2
96,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,72.0,verified,146.1
97,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.6,verified,54.8
102,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,119.7
109,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,300.7,verified,179.0
119,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,44.0,verified,153.8
123,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.6,verified,54.1
129,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,306.1,verified,202.2
131,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,75.6,verified,291.9
137,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,109.2
147,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,303.2,unknown,603.2
149,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,102.4,verified,516.7
152,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,132.0
163,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,47.7,verified,332.8
172,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,302.9,verified,258.3
184,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,57.6,verified,208.5
0,mnist / mnist-net_256x6,0.033,verified,0.6,verified,4.5,verified,1.0
2,mnist / mnist-net_256x6,0.033,unknown,10.1,verified,0.7,verified,237.3
9,mnist / mnist-net_256x6,0.033,unknown,13.0,verified,41.2,unknown,303.6
17,mnist / mnist-net_256x6,0.033,unknown,25.0,falsified,0.0,falsified,34.7
22,mnist / mnist-net_256x6,0.033,unknown,20.3,unknown,303.6,unknown,286.3
27,mnist / mnist-net_256x6,0.033,unknown,15.0,verified,24.9,unknown,422.6
33,mnist / mnist-net_256x6,0.033,unknown,19.6,unknown,304.2,unknown,238.1
39,mnist / mnist-net_256x6,0.033,unknown,33.9,falsified,0.0,falsified,48.4
44,mnist / mnist-net_256x6,0.033,unknown,32.3,unknown,303.6,unknown,174.2
53,mnist / mnist-net_256x6,0.033,verified,0.7,verified,0.5,verified,1.2
61,mnist / mnist-net_256x6,0.033,unknown,37.9,falsified,0.1,unknown,189.6
68,mnist / mnist-net_256x6,0.033,verified,0.7,verified,0.5,verified,1.1
78,mnist / mnist-net_256x6,0.033,unknown,15.0,verified,9.2,unknown,600.0
88,mnist / mnist-net_256x6,0.033,unknown,32.0,unknown,303.8,unknown,180.1
91,mnist / mnist-net_256x6,0.033,unknown,34.1,falsified,0.0,falsified,41.5
113,mnist / mnist-net_256x6,0.033,unknown,32.3,falsified,0.0,falsified,38.9
118,mnist / mnist-net_256x6,0.033,unknown,20.1,verified,0.6,verified,340.1
127,mnist / mnist-net_256x6,0.033,unknown,26.0,verified,9.6,unknown,600.1
132,mnist / mnist-net_256x6,0.033,unknown,31.6,falsified,0.0,falsified,29.4
138,mnist / mnist-net_256x6,0.033,unknown,33.9,unknown,303.3,unknown,186.7
140,mnist / mnist-net_256x6,0.033,unknown,28.7,verified,112.2,unknown,600.0
141,mnist / mnist-net_256x6,0.033,unknown,35.1,falsified,0.0,falsified,31.8
155,mnist / mnist-net_256x6,0.033,unknown,42.7,unknown,304.4,unknown,187.0
158,mnist / mnist-net_256x6,0.033,unknown,46.6,falsified,0.0,unknown,213.0
164,mnist / mnist-net_256x6,0.033,unknown,20.7,verified,0.7,verified,140.1
172,mnist / mnist-net_256x6,0.033,unknown,40.9,unknown,304.5,unknown,188.7
185,mnist / mnist-net_256x6,0.033,unknown,19.7,verified,1.3,verified,232.4
188,mnist / mnist-net_256x6,0.033,unknown,45.9,falsified,0.0,falsified,47.1
190,mnist / mnist-net_256x6,0.033,unknown,45.0,falsified,0.0,falsified,46.0
197,mnist / mnist-net_256x6,0.033,unknown,38.8,unknown,303.5,unknown,223.6
0,mnist / convMedGRELU__Point,0.1,verified,1.4,verified,6.4,verified,2.2
1,mnist / convMedGRELU__Point,0.1,unknown,39.5,verified,10.5,verified,61.9
2,mnist / convMedGRELU__Point,0.1,verified,1.4,verified,0.4,verified,2.1
3,mnist / convMedGRELU__Point,0.1,unknown,26.7,verified,12.9,verified,45.4
4,mnist / convMedGRELU__Point,0.1,verified,1.7,verified,0.4,verified,2.5
5,mnist / convMedGRELU__Point,0.1,unknown,29.7,falsified,0.0,falsified,19.5
7,mnist / convMedGRELU__Point,0.1,unknown,15.6,falsified,0.0,falsified,18.7
9,mnist / convMedGRELU__Point,0.1,verified,1.4,verified,0.4,verified,2.1
10,mnist / convMedGRELU__Point,0.1,unknown,37.7,verified,74.0,verified,138.4
11,mnist / convMedGRELU__Point,0.1,unknown,38.1,verified,25.3,verified,209.5
12,mnist / convMedGRELU__Point,0.1,verified,16.2,verified,6.5,verified,16.9
13,mnist / convMedGRELU__Point,0.1,verified,1.6,verified,0.6,verified,2.6
14,mnist / convMedGRELU__Point,0.1,unknown,34.2,verified,11.5,verified,121.2
17,mnist / convMedGRELU__Point,0.1,unknown,24.1,falsified,0.0,falsified,19.1
18,mnist / convMedGRELU__Point,0.1,verified,26.8,verified,6.1,verified,62.3
19,mnist / convMedGRELU__Point,0.1,unknown,30.7,falsified,0.0,falsified,20.1
20,mnist / convMedGRELU__Point,0.1,unknown,17.5,unknown,301.0,verified,73.8
21,mnist / convMedGRELU__Point,0.1,verified,31.2,verified,6.8,verified,68.3
22,mnist / convMedGRELU__Point,0.1,verified,18.4,verified,1.0,verified,17.5
23,mnist / convMedGRELU__Point,0.1,unknown,24.5,falsified,0.0,falsified,22.9
24,mnist / convMedGRELU__Point,0.1,verified,1.3,verified,0.8,verified,2.0
26,mnist / convMedGRELU__Point,0.1,verified,1.5,verified,0.8,verified,2.4
27,mnist / convMedGRELU__Point,0.1,verified,18.9,verified,6.5,verified,17.3
28,mnist / convMedGRELU__Point,0.1,verified,1.7,verified,0.8,verified,2.5
29,mnist / convMedGRELU__Point,0.1,verified,1.5,verified,0.9,verified,2.4
30,mnist / convMedGRELU__Point,0.1,verified,21.8,verified,6.4,verified,51.0
35,mnist / convMedGRELU__Point,0.1,unknown,18.7,unknown,302.9,verified,81.5
37,mnist / convMedGRELU__Point,0.1,unknown,19.5,falsified,0.0,falsified,19.7
40,mnist / convMedGRELU__Point,0.1,unknown,20.6,verified,15.1,verified,84.6
47,mnist / convMedGRELU__Point,0.1,unknown,17.3,verified,61.0,verified,97.2
0,mnist / convSmallRELU__Point,0.11,verified,0.4,verified,6.3,verified,0.9
1,mnist / convSmallRELU__Point,0.11,verified,4.2,verified,4.7,verified,6.3
2,mnist / convSmallRELU__Point,0.11,verified,0.4,verified,0.5,verified,0.8
3,mnist / convSmallRELU__Point,0.11,unknown,8.1,verified,18.2,verified,66.1
4,mnist / convSmallRELU__Point,0.11,verified,0.5,verified,0.5,verified,1.0
5,mnist / convSmallRELU__Point,0.11,unknown,7.3,falsified,0.0,falsified,8.6
6,mnist / convSmallRELU__Point,0.11,unknown,4.8,verified,8.8,verified,121.9
7,mnist / convSmallRELU__Point,0.11,unknown,4.6,falsified,0.0,falsified,7.4
11,mnist / convSmallRELU__Point,0.11,unknown,6.3,verified,7.7,verified,79.2
12,mnist / convSmallRELU__Point,0.11,verified,6.5,verified,0.6,verified,7.4
15,mnist / convSmallRELU__Point,0.11,unknown,8.8,verified,9.3,verified,114.7
20,mnist / convSmallRELU__Point,0.11,unknown,7.0,verified,6.8,verified,45.5
21,mnist / convSmallRELU__Point,0.11,verified,11.4,verified,3.9,verified,58.8
34,mnist / convSmallRELU__Point,0.11,verified,7.5,verified,6.2,verified,26.1
35,mnist / convSmallRELU__Point,0.11,unknown,6.8,verified,6.0,verified,18.0
40,mnist / convSmallRELU__Point,0.11,unknown,7.1,verified,6.1,verified,30.5
41,mnist / convSmallRELU__Point,0.11,verified,8.8,verified,5.7,verified,40.2
47,mnist / convSmallRELU__Point,0.11,unknown,8.0,verified,10.0,verified,41.8
48,mnist / convSmallRELU__Point,0.11,verified,7.3,verified,6.0,verified,5.9
62,mnist / convSmallRELU__Point,0.11,unknown,7.7,verified,6.2,verified,38.4
75,mnist / convSmallRELU__Point,0.11,verified,8.5,verified,6.3,verified,27.7
79,mnist / convSmallRELU__Point,0.11,unknown,7.6,verified,6.4,verified,24.0
83,mnist / convSmallRELU__Point,0.11,unknown,13.6,verified,8.6,verified,100.1
86,mnist / convSmallRELU__Point,0.11,unknown,8.2,verified,6.9,verified,18.5
92,mnist / convSmallRELU__Point,0.11,verified,8.5,verified,6.3,verified,16.9
101,mnist / convSmallRELU__Point,0.11,verified,7.7,verified,6.4,verified,28.3
138,mnist / convSmallRELU__Point,0.11,unknown,8.5,falsified,0.0,falsified,8.4
139,mnist / convSmallRELU__Point,0.11,unknown,9.1,verified,14.4,verified,112.0
160,mnist / convSmallRELU__Point,0.11,verified,9.6,verified,6.5,verified,5.9
184,mnist / convSmallRELU__Point,0.11,unknown,12.1,falsified,0.0,falsified,8.6
4,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,71.4,unknown,301.8,verified,232.1
7,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,83.1,verified,0.9,verified,139.3
28,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,68.8,unknown,301.2,verified,255.4
45,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,76.6,falsified,0.0,falsified,72.8
50,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,86.8,verified,6.7,verified,315.1
59,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,77.6,unknown,301.1,falsified,77.5
60,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,66.5,falsified,0.0,falsified,67.4
64,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,100.6,unknown,301.5,verified,228.2
70,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,145.3,falsified,0.0,falsified,71.1
72,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,3.5,verified,6.5,verified,6.3
74,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,86.3,verified,0.8,verified,244.2
88,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,3.7,verified,7.2,verified,6.7
95,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,88.7,unknown,301.4,verified,201.5
103,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,3.9,verified,0.9,verified,6.0
105,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,77.3,verified,7.2,verified,152.4
110,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,3.8,verified,14.7,verified,5.9
115,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,3.7,verified,1.4,verified,5.6
135,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,3.7,verified,1.0,verified,6.9
137,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,64.2,verified,1.0,verified,89.2
142,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,74.9,verified,1.0,verified,104.3
176,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,3.6,verified,12.6,verified,7.0
180,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,3.4,verified,1.0,verified,6.4
193,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,117.0,verified,8.4,verified,249.4
220,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,70.1,unknown,300.6,falsified,82.6
230,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,44.7,falsified,0.0,falsified,51.3
326,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,90.1,unknown,301.1,verified,195.3
332,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,61.9,falsified,0.0,falsified,80.7
348,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,67.0,verified,17.7,verified,91.4
379,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,unknown,120.6,unknown,300.4,verified,444.9
434,cifar10 / convMedGRELU__PGDK_w_0.0078,0.006,verified,55.9,verified,44.8,verified,100.9
0,resnet / resnet_4b,0.0042,verified,36.2,verified,7.1,verified,66.4
1,resnet / resnet_4b,0.0042,verified,33.9,verified,1.1,verified,61.3
7,resnet / resnet_4b,0.0042,unknown,85.2,verified,87.0,verified,182.8
17,resnet / resnet_4b,0.0042,verified,36.4,verified,1.9,verified,62.4
20,resnet / resnet_4b,0.0042,unknown,87.3,falsified,0.0,falsified,156.3
34,resnet / resnet_4b,0.0042,verified,37.4,verified,1.9,verified,64.2
39,resnet / resnet_4b,0.0042,verified,40.7,verified,1.9,verified,69.2
45,resnet / resnet_4b,0.0042,verified,35.8,verified,1.9,verified,59.7
50,resnet / resnet_4b,0.0042,verified,36.1,verified,1.9,verified,61.7
53,resnet / resnet_4b,0.0042,verified,36.0,verified,1.8,verified,61.0
54,resnet / resnet_4b,0.0042,verified,32.2,verified,1.8,verified,55.1
72,resnet / resnet_4b,0.0042,verified,34.5,verified,1.8,verified,58.6
78,resnet / resnet_4b,0.0042,verified,37.2,verified,1.9,verified,63.3
79,resnet / resnet_4b,0.0042,verified,34.6,verified,1.8,verified,59.2
83,resnet / resnet_4b,0.0042,unknown,88.6,falsified,0.0,falsified,153.9
85,resnet / resnet_4b,0.0042,verified,37.7,verified,1.8,verified,63.4
87,resnet / resnet_4b,0.0042,verified,38.4,verified,1.8,verified,65.4
91,resnet / resnet_4b,0.0042,verified,37.9,verified,1.9,verified,63.8
97,resnet / resnet_4b,0.0042,verified,40.5,verified,2.0,verified,69.0
119,resnet / resnet_4b,0.0042,verified,35.8,verified,1.8,verified,59.5
131,resnet / resnet_4b,0.0042,verified,38.6,verified,1.8,verified,64.7
159,resnet / resnet_4b,0.0042,verified,36.2,verified,1.8,verified,60.6
181,resnet / resnet_4b,0.0042,verified,41.0,verified,1.8,verified,66.9
213,resnet / resnet_4b,0.0042,verified,37.9,verified,1.9,verified,63.7
233,resnet / resnet_4b,0.0042,verified,35.3,verified,1.8,verified,58.2
247,resnet / resnet_4b,0.0042,unknown,94.3,falsified,0.0,falsified,160.2
293,resnet / resnet_4b,0.0042,unknown,100.2,verified,27.7,verified,200.3
383,resnet / resnet_4b,0.0042,unknown,90.3,falsified,0.0,falsified,154.4
426,resnet / resnet_4b,0.0042,unknown,93.2,verified,27.3,verified,183.9
479,resnet / resnet_4b,0.0042,verified,40.6,verified,1.9,verified,65.2
2,mnist / convBigRELU__DiffAI,0.313,verified,12.2,verified,1.9,verified,19.6
9,mnist / convBigRELU__DiffAI,0.313,verified,12.1,verified,1.8,verified,19.7
24,mnist / convBigRELU__DiffAI,0.313,verified,12.2,verified,2.2,verified,19.7
46,mnist / convBigRELU__DiffAI,0.313,unknown,80.7,unknown,300.9,unknown,600.0
70,mnist / convBigRELU__DiffAI,0.313,verified,12.1,verified,3.0,verified,19.5
81,mnist / convBigRELU__DiffAI,0.313,verified,12.7,verified,2.6,verified,20.0
174,mnist / convBigRELU__DiffAI,0.313,unknown,80.3,falsified,0.1,falsified,91.6
182,mnist / convBigRELU__DiffAI,0.313,verified,12.2,verified,2.0,verified,19.4
183,mnist / convBigRELU__DiffAI,0.313,unknown,80.3,falsified,0.0,falsified,88.7
187,mnist / convBigRELU__DiffAI,0.313,verified,12.6,verified,2.0,verified,19.5
223,mnist / convBigRELU__DiffAI,0.313,unknown,80.7,falsified,0.1,falsified,91.5
235,mnist / convBigRELU__DiffAI,0.313,verified,13.2,verified,2.1,verified,20.2
265,mnist / convBigRELU__DiffAI,0.313,unknown,80.4,falsified,0.0,falsified,84.9
295,mnist / convBigRELU__DiffAI,0.313,verified,12.2,verified,2.0,verified,19.7
296,mnist / convBigRELU__DiffAI,0.313,verified,12.6,verified,2.5,verified,19.9
310,mnist / convBigRELU__DiffAI,0.313,verified,12.4,verified,3.6,verified,19.7
311,mnist / convBigRELU__DiffAI,0.313,verified,12.8,verified,3.3,verified,19.9
326,mnist / convBigRELU__DiffAI,0.313,verified,12.8,verified,2.2,verified,19.6
340,mnist / convBigRELU__DiffAI,0.313,unknown,85.6,falsified,0.1,falsified,90.8
363,mnist / convBigRELU__DiffAI,0.313,verified,13.1,verified,3.3,verified,20.2
386,mnist / convBigRELU__DiffAI,0.313,unknown,88.7,unknown,301.1,unknown,600.0
439,mnist / convBigRELU__DiffAI,0.313,verified,12.7,verified,3.2,verified,19.7
458,mnist / convBigRELU__DiffAI,0.313,verified,12.8,verified,3.2,verified,19.4
466,mnist / convBigRELU__DiffAI,0.313,unknown,85.2,falsified,0.8,falsified,88.8
481,mnist / convBigRELU__DiffAI,0.313,unknown,90.0,unknown,301.1,falsified,90.3
522,mnist / convBigRELU__DiffAI,0.313,unknown,65.7,falsified,0.1,falsified,88.9
524,mnist / convBigRELU__DiffAI,0.313,verified,12.1,verified,2.4,verified,19.4
545,mnist / convBigRELU__DiffAI,0.313,verified,12.3,verified,2.9,verified,19.4
587,mnist / convBigRELU__DiffAI,0.313,verified,12.5,verified,3.0,verified,20.5
591,mnist / convBigRELU__DiffAI,0.313,verified,12.4,verified,2.0,verified,19.5